c,sr,sp,t,y
0.841,1.606,0.06,7,1
1.219,1.448,0.604,10,1
0.876,1.921,0.5,14,1
1.958,1.279,0.727,15,1
0.244,3.187,0.391,8,1
0.628,1.871,0.555,15,1
0.425,2.122,0.33,15,1
0.928,1.491,0.409,16,1
0.4,2.894,0.425,16,1
1.02,2.283,0.571,13,1
0.68,2.91,0.608,16,1
0.768,1.948,0.533,7,1
0.599,2.805,0.536,16,1
1.18,2.096,0.579,9,1
1.19,1.752,0.663,16,1
0.204,3.245,0.287,8,1
0.272,3.186,0.353,16,1
0.213,3.472,0.259,9,1
1.25,1.649,0.612,16,1
1.256,1.312,0.621,16,1
0.287,2.632,0.339,10,1
1.988,1.529,0.892,15,1
0.326,2.47,0.381,10,1
1.971,1.844,1.196,11,1
0.75,1.445,0.464,14,1
1.555,1.703,0.842,15,1
0.591,2.522,0.498,14,1
1.537,1.487,0.684,11,1
1.298,1.499,0.679,10,1
0.282,2.228,0.377,14,1
1.839,2.435,0.923,12,1
0.888,0.733,0.594,15,1
0.781,1.304,0.512,15,1
0.73,1.704,0.764,15,1
0.684,2.611,0.441,15,1
1.193,1.795,0.533,15,1
1.51,2.007,0.913,10,1
0.624,1.708,0.467,16,1
1.457,1.752,0.756,13,1
0.643,1.315,0.431,10,1
1.804,1.529,0.568,14,1
1.553,1.562,0.604,15,1
0.339,2.137,0.26,6,1
1.193,1.506,0.462,15,1
0.288,3.206,0.379,9,1
0.825,2.916,0.691,14,1
1.061,1.207,0.612,17,1
0.974,1.677,0.642,15,1
0.529,1.357,0.39,6,1
2.164,2.68,1.27,16,1
0.321,4.199,0.313,10,1
2.424,1.611,1.125,9,1
1.309,1.762,0.766,15,1
1.785,1.319,0.671,4,1
1.764,1.305,0.797,8,1
1.327,1.419,0.652,15,1
0.318,4.145,0.31,14,1
0.476,2.197,0.461,9,1
1.652,1.4,0.676,16,1
1.192,2.039,0.568,15,1
1.487,1.513,0.759,15,1
1.434,1.588,0.582,15,1
1.552,2.251,1.217,7,1
1.514,1.598,0.695,15,1
0.904,0.995,0.982,11,1
1.35,4.786,1.02,20,1
0.862,3.223,0.97,14,1
0.794,0.367,0.976,9,1
0.607,3.077,0.965,14,1
0.379,1.559,0.889,14,1
0.405,2.096,0.94,9,1
0.73,1.048,0.959,14,1
1.022,1.267,0.975,10,1
0.711,1.658,0.927,13,1
0.653,1.484,0.552,15,1
3.976,1.931,1.476,14,1
0.956,1.684,0.487,8,1
1.031,2.176,0.625,12,1
1.133,2.179,0.704,16,1
0.423,2.318,0.343,15,1
1.347,1.749,0.414,11,1
0.704,1.765,0.471,10,1
1.839,1.903,0.314,9,1
0.703,1.676,0.481,15,1
0.531,2.741,0.355,14,1
0.649,1.779,0.514,15,1
0.832,2,0.5,15,1
1.034,1.889,0.585,11,1
0.924,2.16,0.603,13,1
0.86,2.156,0.555,10,1
0.963,2.056,0.575,15,1
0.446,2.405,0.388,15,1
0.599,1.785,0.404,11,1
0.557,2.109,0.5,14,1
1.06,1.998,0.777,15,1
1.09,1.891,0.534,11,1
0.631,1.676,0.478,11,1
0.737,2.154,0.595,10,1
0.629,2.179,0.511,15,1
0.442,2.212,0.4,10,1
0.496,1.976,0.406,10,1
0.899,1.89,0.558,16,1
1.194,1.221,0.576,14,1
0.892,1.649,0.421,10,1
0.744,2.638,0.384,11,1
0.437,1.814,0.347,10,1
0.462,3.398,0.385,10,1
0.359,2.731,0.354,10,1
0.562,3.269,0.44,11,1
0.374,2.78,0.299,11,1
1.529,0.365,0.676,14,1
1.154,0.49,0.576,12,1
0.795,0.541,0.451,16,1
1.67,0.169,0.59,10,1
1.587,0.15,0.731,11,1
14.42,0.25,2.277,9,1
1.086,0.232,0.666,16,1
0.694,0.849,0.466,14,1
1.707,0.883,0.67,11,1
0.797,0.842,0.454,9,1
1.208,0.696,0.529,12,1
0.743,0.684,0.359,11,1
0.977,0.903,0.564,10,1
5.864,0.455,1.655,9,1
0.891,0.893,0.5,12,1
3.333,0.474,1.21,12,1
1.938,0.587,0.838,11,1
0.211,1.306,0.279,13,1
1.339,0.725,0.586,14,1
2.246,0.554,0.714,13,1
0.612,0.655,0.425,12,1
0.883,0.992,0.463,16,1
0.376,1.241,0.391,13,1
0.792,0.984,0.454,12,1
1.305,0.649,0.52,12,1
0.893,0.613,0.39,11,1
1.21,0.799,0.517,13,1
1,0.561,0.483,10,1
1.4,0.682,0.615,12,1
1.096,0.86,0.528,13,1
1.554,0.564,0.827,13,1
7.488,0.316,1.592,13,1
1.089,0.832,0.543,9,1
0.857,1.145,0.412,16,1
0.96,0.833,0.511,14,1
0.814,1.18,0.446,15,1
1.269,0.575,0.485,9,1
0.981,0.796,0.431,13,1
0.856,0.918,0.46,13,1
1.33,0.779,0.65,8,1
3.153,2.028,1.83,1,0
7.586,2.828,2.884,21,0
8.631,2.605,2.89,21,0
11.317,2.69,3.015,6,0
16.066,1.893,2.209,21,0
8.669,2.023,2.941,23,0
9.212,2.957,4.173,1,0
8.51,5.657,2.73,1,0
11.3,9.3,2.926,5,0
7.861,4.449,2.073,18,0
4.99,7.965,1.255,19,0
9.281,8.665,2.12,7,0
12.971,8.343,2.537,10,0
5.686,2.431,2.83,22,0
15.353,1.777,1.777,7,0
4.463,2.826,1.861,12,0
8.717,1.782,3.75,13,0
1.578,3.403,1.011,9,0
6.365,2.113,3.248,1,0
8.211,2.507,4.466,12,0
5.913,2.293,2.25,13,0
22.13,0.831,4.15,6,0
1.988,1.184,1.78,21,0
5.796,0.707,2.54,12,0
10.549,2.068,2.9,13,0
6.532,1.975,2.92,9,0
17.035,0.492,2.65,1,0
18.322,1.681,2.125,12,0
2.551,1.21,1,13,0
